px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,-0.004,0.035,-0.012,-0.026
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.002,-0.004,0.021,0.001,-0.014
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.0,-0.002,-0.002,0.016,0.006,-0.003
0.07,0.003,0.056,0.999,0.019,0.024,0.026,-0.001,0.006,-0.0,-0.071,0.249,0.109
0.07,0.003,0.056,0.999,0.018,0.024,0.025,-0.001,0.006,-0.001,-0.068,0.173,0.082
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.0,0.002,-0.0,0.001,0.067,0.017
0.07,0.003,0.057,0.999,0.019,0.022,0.025,0.001,0.004,0.004,-0.053,-0.007,0.048
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.001,-0.003,0.004,0.009,0.118,-0.032
0.07,0.003,0.056,0.999,0.019,0.025,0.025,-0.003,0.001,-0.006,0.012,0.253,-0.002
0.07,0.003,0.056,0.999,0.019,0.025,0.025,-0.002,0.001,-0.005,0.014,0.195,0.005
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.003,0.001,0.008,-0.046,-0.122,0.033
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,0.002,0.047,-0.042,-0.027
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.0,-0.003,0.005,0.017,-0.011,-0.043
0.07,0.003,0.057,0.999,0.018,0.023,0.025,0.002,0.001,0.007,-0.05,-0.031,0.012
0.07,0.003,0.056,0.999,0.019,0.025,0.025,-0.004,-0.001,-0.011,0.033,0.203,0.004
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.0,-0.002,-0.002,0.02,-0.043,-0.002
0.07,0.003,0.056,0.999,0.019,0.024,0.025,-0.002,-0.001,-0.004,0.02,0.046,0.0
0.07,0.003,0.056,0.999,0.019,0.022,0.025,0.006,-0.005,0.012,0.028,-0.491,-0.039
0.07,0.003,0.056,0.999,0.019,0.023,0.025,0.005,-0.004,0.009,0.025,-0.371,-0.031
0.07,0.003,0.056,0.999,0.019,0.025,0.025,0.001,-0.001,-0.0,0.001,-0.054,-0.01
0.07,0.003,0.057,0.999,0.019,0.023,0.025,0.004,-0.003,0.011,0.016,-0.193,-0.029
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.005,0.003,0.01,-0.06,-0.262,0.034
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.004,0.001,0.012,-0.066,-0.173,-0.005
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.003,0.001,0.005,-0.04,-0.169,0.017
0.07,0.003,0.056,0.999,0.019,0.022,0.025,0.001,-0.003,-0.001,0.032,-0.098,-0.018
0.07,0.003,0.056,0.999,0.019,0.023,0.025,0.0,-0.003,-0.001,0.025,-0.051,-0.018
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.0,-0.002,-0.002,0.035,-0.015,-0.018
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.0,-0.003,0.003,0.016,-0.022,-0.033
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,-0.002,0.014,-0.028,-0.017
0.07,0.003,0.056,0.999,0.019,0.023,0.025,0.0,-0.002,-0.0,0.014,-0.028,-0.009
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.003,0.004,0.006,-0.072,-0.087,0.05
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.003,0.004,0.006,-0.062,-0.06,0.037
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.002,0.003,0.006,-0.043,-0.052,0.032
0.07,0.003,0.057,0.999,0.018,0.022,0.025,0.001,0.003,0.004,-0.049,-0.05,0.029
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.002,-0.001,0.031,0.018,-0.02
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.002,-0.001,0.034,0.001,-0.022
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,-0.001,0.026,0.014,-0.019
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,-0.003,0.022,0.017,-0.006
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,-0.002,0.011,-0.008,-0.01
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.001,-0.001,-0.003,0.012,0.008,-0.012
0.07,0.003,0.056,0.999,0.019,0.023,0.025,-0.0,-0.001,-0.002,0.011,0.025,-0.005
0.07,0.003,0.056,0.999,0.019,0.023,0.025,0.001,-0.001,0.001,0.009,-0.003,0.001
0.07,0.003,0.056,0.999,0.019,0.023,0.025,0.0,-0.0,0.0,0.018,0.011,0.003
0.07,0.003,0.057,0.999,0.019,0.023,0.025,0.0,0.001,0.002,-0.006,-0.004,-0.003
0.07,0.003,0.057,0.999,0.019,0.022,0.025,0.002,0.003,0.004,-0.007,-0.045,0.032
0.07,0.003,0.057,0.999,0.019,0.022,0.025,0.001,0.003,0.003,-0.025,-0.037,0.021
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.002,0.002,0.001,-0.017,-0.017,0.053
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.002,0.0,0.0,-0.002,-0.018,0.066
0.07,0.003,0.057,0.999,0.018,0.022,0.026,0.0,0.001,0.002,-0.069,-0.018,0.042
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.003,-0.003,0.001,0.041,0.053,0.045
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.003,0.001,0.041,0.047,0.041
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.003,0.001,0.03,0.044,0.036
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.002,-0.001,0.001,0.036,0.073,0.028
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.003,-0.002,0.022,-0.062,0.034
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.003,-0.001,0.02,-0.067,0.023
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.003,-0.002,0.009,-0.057,0.027
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.001,0.001,0.012,-0.007,-0.0
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.003,0.002,0.0,0.053,-0.031,0.005
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.0,0.001,-0.004,-0.014,-0.016,0.014
0.07,0.003,0.056,0.999,0.018,0.023,0.026,-0.0,-0.0,-0.003,-0.054,0.003,0.013
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.001,0.0,-0.012,0.032,-0.01
0.07,0.003,0.057,0.999,0.02,0.024,0.026,-0.002,-0.009,0.011,0.136,0.174,0.068
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.002,0.001,-0.001,-0.024,-0.019,-0.029
0.07,0.003,0.057,0.999,0.02,0.024,0.026,-0.001,-0.005,0.007,0.132,0.128,0.048
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.003,-0.004,-0.015,-0.048,-0.01
0.07,0.003,0.056,0.999,0.018,0.023,0.026,-0.001,0.001,-0.007,-0.074,-0.001,0.001
0.07,0.003,0.056,0.999,0.02,0.022,0.026,-0.0,0.005,-0.007,0.069,-0.031,-0.003
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,0.001,-0.001,0.036,-0.041,0.001
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,0.0,-0.001,-0.022,-0.023,-0.011
0.07,0.003,0.057,0.999,0.02,0.024,0.026,0.002,-0.005,0.012,0.167,0.121,-0.006
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.0,0.0,0.0,-0.021,0.005,-0.003
0.07,0.003,0.057,0.999,0.018,0.022,0.026,0.002,0.001,0.002,-0.047,-0.036,0.022
0.07,0.003,0.057,0.999,0.022,0.022,0.026,-0.001,0.001,0.005,0.219,-0.046,0.029
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.0,0.002,-0.005,-0.078,-0.001,-0.019
0.07,0.003,0.057,0.999,0.02,0.023,0.026,0.0,-0.003,0.006,0.073,0.085,-0.024
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.0,0.0,-0.002,-0.052,0.019,-0.009
0.07,0.003,0.057,0.999,0.018,0.023,0.025,-0.0,-0.002,0.003,-0.073,0.083,-0.039
0.07,0.003,0.057,0.999,0.021,0.022,0.026,0.001,-0.0,0.009,0.229,-0.115,0.001
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.002,0.0,-0.001,-0.078,-0.054,0.032
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.002,0.003,-0.015,0.034,0.002
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.001,0.0,-0.04,0.034,-0.003
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.0,-0.001,-0.001,0.024,0.05,0.002
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.001,-0.003,0.003,0.122,-0.06,0.043
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.0,-0.002,-0.0,-0.024,0.047,-0.017
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.001,0.004,-0.007,0.041,-0.013,0.014
0.07,0.003,0.057,0.999,0.021,0.022,0.026,-0.001,-0.002,0.009,0.208,-0.109,0.036
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.002,0.004,-0.053,0.019,-0.014
0.07,0.003,0.057,0.999,0.02,0.024,0.026,0.002,-0.004,0.009,0.132,0.094,0.02
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.001,0.002,0.001,0.04,0.008
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.001,0.003,-0.0,0.037,-0.014,-0.032
0.07,0.003,0.057,0.999,0.02,0.023,0.026,0.0,-0.003,0.006,0.103,0.018,0.002
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.001,0.001,-0.005,-0.011,-0.068,0.002
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.0,0.002,-0.005,0.036,-0.03,0.01
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.001,-0.001,0.004,0.065,-0.081,0.009
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.001,-0.0,-0.001,-0.044,-0.043,-0.02
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,0.001,-0.001,0.008,-0.035,0.002
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.0,-0.001,0.005,0.096,-0.076,0.0
0.07,0.003,0.057,0.999,0.019,0.023,0.025,0.0,-0.0,0.003,-0.016,0.044,-0.025
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.0,0.001,-0.004,-0.039,-0.032,0.029
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.0,-0.002,0.002,0.097,-0.086,0.018
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.001,-0.001,-0.003,-0.021,-0.01,-0.007
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.002,0.001,-0.018,0.029,-0.005
0.07,0.003,0.056,0.999,0.018,0.023,0.026,-0.001,-0.0,-0.005,-0.055,-0.021,0.027
0.07,0.003,0.056,0.999,0.02,0.023,0.026,-0.001,0.004,-0.005,0.077,0.011,-0.004
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.001,-0.0,-0.0,-0.019,-0.021,0.017
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.0,-0.003,0.005,0.076,-0.054,0.019
0.07,0.003,0.057,0.999,0.02,0.023,0.026,0.001,0.005,-0.001,0.029,0.107,-0.001
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.001,0.004,-0.002,-0.055,0.007,0.003
0.07,0.003,0.057,0.999,0.02,0.024,0.026,-0.001,-0.003,0.009,0.058,0.154,0.029
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.003,0.003,-0.001,-0.111,-0.009,-0.009
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.002,0.002,-0.001,-0.067,-0.004,-0.026
0.07,0.003,0.057,0.999,0.02,0.024,0.026,-0.003,-0.004,0.009,0.116,0.146,0.051
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.0,-0.002,-0.044,-0.017,0.001
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.0,0.001,-0.006,-0.011,-0.019,-0.002
0.07,0.003,0.057,0.999,0.021,0.022,0.026,-0.004,-0.003,0.007,0.241,-0.07,0.072
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.001,0.001,-0.001,-0.017,-0.025,0.026
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.0,0.004,0.001,0.019,-0.003
0.07,0.003,0.057,0.999,0.021,0.024,0.026,-0.004,-0.003,0.015,0.285,0.168,0.083
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,0.003,-0.001,-0.024,-0.074,0.004
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.001,0.002,-0.002,-0.009,-0.038,0.001
0.07,0.003,0.057,0.999,0.022,0.024,0.026,-0.001,-0.001,0.007,0.217,0.09,0.045
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.0,-0.002,-0.123,-0.006,-0.032
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.001,0.001,-0.006,-0.117,-0.104,-0.025
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,0.001,-0.0,-0.031,-0.053,-0.015
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.0,-0.001,-0.003,-0.085,-0.023,-0.022
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.001,-0.0,-0.001,0.038,-0.096,-0.023
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.0,0.0,-0.003,-0.043,0.026,-0.001
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.003,-0.004,-0.055,-0.063,0.009
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.0,0.0,0.002,0.007,0.04,0.001
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.001,0.0,-0.048,-0.02,-0.014
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.002,-0.003,-0.04,-0.071,0.029
0.07,0.003,0.057,0.999,0.021,0.023,0.026,-0.0,0.0,0.003,0.123,0.039,0.002
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.0,0.001,-0.003,-0.017,-0.025,0.007
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.001,-0.001,-0.007,-0.043,-0.066,0.008
0.07,0.003,0.057,0.999,0.021,0.022,0.026,-0.001,-0.001,-0.004,0.156,-0.084,0.015
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,-0.002,-0.004,-0.012,-0.014,-0.009
0.07,0.003,0.056,0.999,0.018,0.023,0.026,-0.001,-0.001,-0.004,-0.047,-0.026,-0.001
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.002,-0.008,0.009,0.313,-0.108,0.022
0.07,0.003,0.057,0.999,0.018,0.023,0.026,0.001,-0.004,0.004,0.115,-0.042,0.002
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.002,-0.003,0.008,0.134,0.014,0.011
0.07,0.003,0.057,0.999,0.02,0.024,0.026,0.0,-0.005,0.011,0.191,0.067,0.047
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.008,0.023,-0.032,-0.487,-0.701,-0.158
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.005,0.019,-0.03,-0.346,-0.511,-0.141
0.07,0.003,0.057,0.999,0.021,0.022,0.026,0.004,0.011,-0.014,-0.154,-0.444,-0.055
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.005,0.012,-0.019,-0.275,-0.352,-0.083
0.07,0.003,0.056,0.999,0.02,0.023,0.026,0.003,0.011,-0.019,-0.154,-0.252,-0.072
0.07,0.003,0.057,0.999,0.021,0.024,0.026,0.003,0.002,0.002,0.045,-0.099,-0.03
0.07,0.003,0.057,0.999,0.018,0.023,0.025,0.001,0.004,-0.009,-0.279,-0.163,-0.106
0.07,0.003,0.057,0.999,0.02,0.023,0.026,0.002,0.003,-0.005,-0.143,-0.095,-0.05
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.006,-0.014,-0.235,-0.141,-0.024
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.002,0.004,-0.006,-0.046,-0.239,-0.053
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,0.006,-0.011,-0.137,-0.138,-0.025
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,0.005,-0.01,-0.158,-0.111,-0.022
0.07,0.003,0.056,0.999,0.019,0.025,0.026,-0.004,0.007,-0.017,-0.107,0.179,-0.008
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.001,-0.001,-0.05,-0.131,-0.012
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.001,0.001,-0.003,-0.089,-0.109,-0.015
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.001,0.002,-0.003,-0.028,-0.089,-0.001
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.002,-0.002,0.006,0.047,-0.122,-0.023
0.07,0.003,0.057,0.999,0.018,0.023,0.025,-0.001,-0.004,0.004,-0.16,0.042,-0.076
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.001,0.001,-0.004,-0.075,-0.042,0.001
0.07,0.003,0.056,0.999,0.018,0.023,0.026,0.0,-0.001,-0.006,-0.088,-0.027,0.017
0.07,0.003,0.057,0.999,0.018,0.022,0.025,-0.0,-0.001,-0.002,-0.066,-0.033,-0.026
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.001,0.003,-0.002,-0.001,-0.032,0.016
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.0,0.0,0.006,0.145,-0.048,0.057
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.001,0.003,0.0,0.003,-0.034,0.021
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.001,-0.001,0.002,0.013,-0.01,0.011
0.07,0.003,0.057,0.999,0.021,0.023,0.026,-0.002,-0.005,0.009,0.193,0.041,0.084
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.0,0.001,0.001,0.057,0.02,0.021
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,-0.0,0.0,0.021,0.003,0.015
0.07,0.003,0.057,0.999,0.021,0.022,0.026,-0.011,-0.015,0.04,0.948,-0.162,0.25
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.006,-0.01,0.024,0.65,-0.069,0.141
0.07,0.003,0.056,0.999,0.019,0.025,0.026,-0.007,-0.007,0.011,0.443,0.205,0.167
0.07,0.003,0.057,0.999,0.021,0.022,0.026,-0.005,-0.008,0.025,0.513,-0.132,0.104
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.002,-0.007,0.013,0.214,0.042,0.068
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.002,-0.003,0.006,0.161,-0.027,0.055
0.07,0.003,0.057,0.999,0.021,0.023,0.026,-0.001,-0.006,0.017,0.326,0.052,0.045
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.001,-0.001,0.0,0.052,-0.06,0.037
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,-0.002,0.004,0.039,0.024,0.019
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,-0.001,0.004,0.068,0.052,0.021
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.0,-0.001,0.002,0.022,0.002,0.01
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.001,-0.0,0.001,0.067,-0.041,0.027
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.001,-0.0,0.0,0.049,0.025,-0.007
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.004,0.002,-0.008,0.05,0.023
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,-0.001,0.001,0.038,-0.053,0.029
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.0,0.001,-0.003,0.032,-0.023,0.019
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,-0.0,0.0,-0.046,-0.025,0.015
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.001,-0.001,0.003,-0.006,-0.039,-0.001
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.0,-0.001,0.0,-0.033,-0.012,0.01
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.002,0.004,-0.021,0.056,-0.001
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,-0.003,0.007,0.021,0.063,-0.016
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.001,0.001,-0.003,-0.008,-0.053,0.014
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.0,-0.0,0.001,-0.01,-0.005,-0.006
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.0,0.001,-0.0,0.042,-0.05,0.011
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.0,0.001,-0.005,-0.016,-0.011,-0.001
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,0.001,-0.003,-0.021,-0.019,0.002
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.002,0.004,0.002,0.109,-0.031,-0.0
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.001,0.001,0.001,0.042,0.034,-0.024
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.0,0.001,-0.0,0.012,-0.022,0.019
0.07,0.003,0.057,0.999,0.021,0.022,0.026,0.001,0.001,0.003,0.19,-0.051,0.005
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.001,-0.003,0.001,-0.058,0.048,-0.0
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.0,0.001,-0.002,-0.03,-0.003,0.001
0.07,0.003,0.057,0.999,0.02,0.023,0.026,0.001,-0.005,0.01,0.094,0.06,-0.001
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.001,0.002,-0.002,-0.002,-0.018,-0.029
0.07,0.003,0.057,0.999,0.018,0.022,0.026,-0.001,0.0,-0.003,-0.073,-0.021,-0.008
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.0,-0.002,0.002,0.048,-0.03,0.004
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.003,-0.001,-0.039,0.009,0.011
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.001,0.003,-0.032,0.056,-0.011
0.07,0.003,0.057,0.999,0.018,0.023,0.026,-0.0,-0.002,-0.001,-0.089,0.046,0.004
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.0,0.001,-0.053,0.01,0.002
0.07,0.003,0.056,0.999,0.019,0.023,0.026,-0.001,0.001,-0.005,-0.003,-0.012,-0.006
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.001,-0.004,0.0,0.092,-0.025,0.028
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.001,0.002,-0.003,-0.039,-0.026,0.022
0.07,0.003,0.057,0.999,0.019,0.023,0.025,-0.001,0.001,-0.0,-0.009,-0.002,-0.028
0.07,0.003,0.057,0.999,0.02,0.024,0.026,-0.002,-0.006,0.009,0.13,0.121,0.069
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.001,0.0,-0.07,0.013,-0.004
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.0,0.005,-0.007,0.03,-0.014,0.011
0.07,0.003,0.057,0.999,0.02,0.022,0.026,-0.001,0.0,0.003,0.087,-0.046,0.037
0.07,0.003,0.057,0.999,0.018,0.023,0.026,-0.0,0.003,-0.005,-0.117,0.003,-0.036
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.001,0.003,-0.005,-0.07,-0.044,-0.012
0.07,0.003,0.057,0.999,0.021,0.022,0.026,-0.002,-0.001,0.003,0.136,-0.091,0.039
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.001,0.0,-0.005,-0.043,-0.017,-0.016
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.001,-0.001,-0.004,-0.02,-0.021,0.003
0.07,0.003,0.057,0.999,0.021,0.022,0.026,0.001,-0.0,0.009,0.223,-0.096,-0.002
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.0,0.0,-0.024,0.049,-0.02
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.001,0.001,-0.023,0.04,-0.021
0.07,0.003,0.057,0.999,0.021,0.024,0.026,-0.002,-0.004,0.012,0.188,0.148,0.074
0.07,0.003,0.057,0.999,0.019,0.023,0.025,0.001,0.006,-0.005,-0.121,-0.006,-0.084
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,0.004,-0.006,-0.119,-0.068,-0.033
0.07,0.003,0.057,0.999,0.021,0.022,0.026,0.001,0.003,0.003,0.062,-0.094,-0.016
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.001,0.005,-0.011,-0.095,-0.016,-0.029
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,0.003,-0.008,-0.163,-0.041,-0.031
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.001,0.003,-0.005,-0.074,-0.038,-0.016
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.0,0.0,-0.007,-0.105,-0.01,-0.023
0.07,0.003,0.057,0.999,0.02,0.022,0.026,0.002,-0.001,0.001,0.059,-0.05,-0.024
0.07,0.003,0.057,0.999,0.02,0.024,0.025,0.0,-0.004,0.009,0.065,0.112,-0.035
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.001,-0.0,-0.001,-0.103,0.008,-0.023
0.07,0.003,0.057,0.999,0.02,0.023,0.026,0.001,-0.002,0.006,0.024,0.053,-0.001
0.07,0.003,0.057,0.999,0.019,0.023,0.026,-0.0,0.003,-0.005,-0.09,-0.02,-0.005
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.001,0.001,-0.004,-0.083,-0.034,0.007
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,0.001,-0.001,-0.028,-0.03,0.01
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.001,0.004,-0.004,-0.029,-0.025,-0.006
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,0.001,-0.003,-0.052,-0.025,0.002
0.07,0.003,0.057,0.999,0.019,0.022,0.026,-0.0,-0.001,-0.001,0.004,-0.032,0.006
0.07,0.003,0.056,0.999,0.02,0.023,0.026,-0.001,0.002,-0.008,0.084,0.034,-0.011
0.07,0.003,0.056,0.999,0.019,0.023,0.026,0.0,-0.003,-0.002,-0.03,0.024,0.015
0.07,0.003,0.057,0.999,0.019,0.024,0.026,-0.001,-0.004,0.005,0.021,0.103,-0.015
0.07,0.003,0.056,0.999,0.019,0.022,0.026,-0.0,0.001,-0.002,-0.036,-0.014,0.003
0.07,0.003,0.056,0.999,0.019,0.022,0.026,0.0,0.001,-0.001,-0.005,-0.005,-0.011
0.07,0.003,0.056,0.999,0.018,0.023,0.026,-0.001,-0.0,-0.001,-0.053,0.008,-0.007
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.003,0.003,0.001,0.012,-0.038,0.014
0.07,0.003,0.057,0.999,0.019,0.023,0.026,0.002,0.002,0.001,0.035,-0.01,0.003
0.07,0.003,0.057,0.999,0.021,0.025,0.026,-0.001,-0.004,0.015,0.233,0.185,0.058
0.07,0.003,0.057,0.999,0.019,0.022,0.026,0.001,0.002,0.0,0.021,-0.014,-0.005
